row_id,id,tip_ponude,tip_nekretnine,broj_soba,spratnost,sprat,povrsina_placa,grejanje,grad,lokacija,mikrolokacija,kvadratura,parking,uknjizenost,terasa,lift,tip_objekta,cena,x_pos,y_pos,udaljenost_od_centra,tip_objekta_klasa
793,69818,Prodaja,Stan,2,6,2,0,CG,Beograd,Opština Novi Beograd,Blok 28,57,,DA,,DA,,115000,44.812533,20.411699,0.042398038751811876,3.0
794,69819,Prodaja,Stan,2,9,9,0,CG,Beograd,Opština Novi Beograd,Blok 63,60,,DA,,DA,,100000,44.8121,20.3813,0.07223745565840582,3.0
795,69820,Prodaja,Stan,3,5,1,0,CG,Beograd,Opština Vračar,Crveni krst,94,,DA,,DA,Novogradnja,179000,44.7978,20.4884,0.04418653641099151,1.0
796,69821,Prodaja,Stan,4,17,15,0,CG,Beograd,Opština Palilula,Centar,94,,DA,DA,DA,,183000,44.808,20.4773,0.029267387994148752,3.0
797,69822,Prodaja,Stan,3,6,4,0,EG,Beograd,Opština Stari grad,Centar,80,,DA,DA,DA,Stara gradnja,265000,44.818498,20.463794,0.012343680164360892,2.0
798,69823,Prodaja,Stan,1,8,4,0,CG,Beograd,Opština Voždovac,Konjarnik,36,,DA,,DA,,70000,44.7801,20.5083,0.0707350690958892,3.0
799,69824,Prodaja,Stan,3,5,5,0,CG,Beograd,Opština Stari grad,Centar,80,,DA,,DA,Novogradnja,185000,44.8184,20.4746,0.022629405648403357,1.0
800,69825,Prodaja,Stan,3,11,5,0,CG,Beograd,Opština Voždovac,Braće Jerković,92,DA,DA,DA,DA,Stara gradnja,119900,44.763728,20.494395,0.07309899321468298,2.0
801,69826,Prodaja,Stan,2,5,3,0,CG,Beograd,Opština Zvezdara,Lion,62,,,DA,DA,,151288,44.7965,20.4976,0.052581745882006085,3.0
802,69827,Prodaja,Stan,1,5,3,0,CG,Beograd,Opština Novi Beograd,Blok 65,46,,DA,,DA,,155500,44.8092,20.3998,0.05475481713968452,3.0
803,69828,Prodaja,Stan,3,4,1,0,CG,Beograd,Opština Vračar,Bulevar kralja Aleksandra,94,DA,DA,DA,DA,Novogradnja,183000,44.792474,20.500498,0.057177630940781675,1.0
804,69830,Prodaja,Stan,3,5,3,0,EG,Beograd,Opština Stari grad,Centar,83,,DA,,DA,Stara gradnja,164900,44.814875,20.455506,0.009291149605943575,2.0
805,69831,Prodaja,Stan,5,8,8,0,CG,Beograd,Opština Zemun,Zelena avenija,119,DA,,DA,DA,Novogradnja,224000,44.838282,20.404945,0.049836068755468796,1.0
806,69832,Prodaja,Stan,3,6,5,0,CG,Beograd,Opština Novi Beograd,Blok 22,75,DA,DA,,DA,,148500,44.8082,20.428,0.029075935066650353,3.0
807,69833,Prodaja,Stan,2,5,0,0,CG,Beograd,Opština Voždovac,Autokomanda,50,,DA,,,,85000,44.786464,20.469816,0.04102329036047749,3.0
808,69834,Prodaja,Stan,3,4,2,0,CG,Beograd,Opština Novi Beograd,Blok 38,65,DA,DA,DA,,Stara gradnja,138000,44.816903,20.405746,0.04734444555594625,2.0
809,69838,Prodaja,Stan,2,3,2,0,EG,Beograd,Opština Zvezdara,Mirijevo,38,,DA,,,,62000,44.7942,20.52,0.07357316086726357,3.0
810,69839,Prodaja,Stan,3,5,4,0,CG,Beograd,Opština Novi Beograd,Hotel Jugoslavija,62,DA,DA,DA,,Stara gradnja,117900,44.827919,20.415028,0.03780813596304444,2.0
811,69840,Prodaja,Stan,4,6,3,0,CG,Beograd,Opština Vračar,Krunska,108,,DA,DA,DA,Stara gradnja,350000,44.808083,20.467676,0.02170659957247982,2.0
812,69841,Prodaja,Stan,3,7,3,0,EG,Beograd,Opština Zemun,Zelena avenija,68,,,DA,DA,Novogradnja,170000,44.836,20.4036,0.05052019398220732,1.0
813,69842,Prodaja,Stan,4,6,4,0,CG,Beograd,Opština Novi Beograd,Blok 29,123,,DA,,DA,Novogradnja,280000,44.8166,20.4178,0.03551689738701932,1.0
814,69844,Prodaja,Stan,3,20,18,0,CG,Beograd,Opština Novi Beograd,Blok 23,52,,DA,,DA,Stara gradnja,125000,44.807477,20.425304,0.03175306827694145,2.0
815,69845,Prodaja,Stan,4,2,2,0,EG,Beograd,Opština Grocka,Kaluđerica,109,DA,DA,DA,,Stara gradnja,59000,44.761175,20.563179,0.1270318498094096,2.0
816,69846,Prodaja,Stan,2,1,0,0,Gas,Beograd,Opština Čukarica,Bele vode,46,DA,DA,DA,,Stara gradnja,55000,44.7463,20.4019,0.09252702307974996,2.0
817,69847,Prodaja,Stan,1,8,0,0,CG,Beograd,Opština Novi Beograd,Stari Merkator,29,,DA,,,,49000,44.832,20.4077,0.04566070520699552,3.0
818,69848,Prodaja,Stan,4,17,10,0,CG,Beograd,Opština Novi Beograd,Blok 21,100,,DA,DA,DA,,205000,44.8145,20.4323,0.02228744040934158,3.0
819,69849,Prodaja,Stan,2,5,2,0,EG,Beograd,Opština Palilula,Karaburma,63,,DA,,,Stara gradnja,77000,44.808908,20.517566,0.06662870567555532,2.0
