,id,tip_ponude,tip_nekretnine,broj_soba,spratnost,sprat,povrsina_placa,grejanje,grad,lokacija,mikrolokacija,kvadratura,parking,uknjizenost,terasa,lift,tip_objekta,cena,x_pos,y_pos,udaljenost_od_centra,tip_objekta_klasa
3148,73441,Prodaja,Stan,3,6,2,0,CG,Beograd,Opština Rakovica,Labudovo brdo,90,,DA,,DA,Stara gradnja,123000,44.7281,20.4216,0.10050054726219554,2.0
3149,73444,Prodaja,Stan,2,4,2,0,TA,Beograd,Opština Zvezdara,Lipov lad,21,,DA,,,Stara gradnja,63000,44.7984,20.4918,0.046655439125574114,2.0
3150,73445,Prodaja,Stan,2,3,0,0,,Beograd,Opština Stari grad,Knez Mihailova,49,,DA,,,Stara gradnja,149500,44.8174,20.4532,0.006328506932921631,2.0
3151,73447,Prodaja,Stan,3,3,3,0,Podno,Beograd,Opština Palilula,Karaburma,159,DA,,DA,DA,Novogradnja,280000,44.8032,20.5289,0.07900594914308794,1.0
3155,73456,Prodaja,Stan,2,0,0,0,EG,Beograd,Opština Čukarica,Žarkovo,35,,,DA,,Stara gradnja,55000,44.7602,20.4078,0.07771286894717298,2.0
3160,73466,Prodaja,Stan,1,5,0,0,EG,Beograd,Opština Palilula,Krnjača,35,DA,DA,DA,,Novogradnja,41000,44.846,20.495,0.04790668011874542,1.0
3161,73467,Prodaja,Stan,2,7,3,0,CG,Beograd,Opština Zvezdara,Denkova bašta,60,,DA,,,Stara gradnja,88500,44.789264,20.502376,0.06052675666182767,2.0
3162,73469,Prodaja,Stan,4,6,5,0,CG,Beograd,Opština Rakovica,Centar,103,,,,DA,Stara gradnja,92500,44.7464,20.4554,0.07735069489022166,2.0
3163,73471,Prodaja,Stan,4,6,5,0,CG,Beograd,Opština Rakovica,Kanarevo brdo,103,,,,DA,Stara gradnja,92500,44.7464,20.4554,0.07735069489022166,2.0
3165,73474,Prodaja,Stan,2,4,0,0,CG,Beograd,Opština Novi Beograd,Blok 63,54,,DA,DA,DA,Stara gradnja,95000,44.8046,20.3715,0.0833187853968116,2.0
3166,73475,Prodaja,Stan,2,4,0,0,CG,Beograd,Opština Novi Beograd,Dr Ivana Ribara,54,,DA,DA,DA,Stara gradnja,95000,44.8046,20.3715,0.0833187853968116,2.0
3167,73476,Prodaja,Stan,4,7,7,0,CG,Beograd,Opština Čukarica,Banovo brdo,111,,DA,,DA,Stara gradnja,145000,44.7705,20.413,0.06632043425672379,2.0
3168,73477,Prodaja,Stan,2,4,0,0,CG,Beograd,Opština Novi Beograd,Blok 62,54,,DA,DA,DA,Stara gradnja,95000,44.8046,20.3715,0.0833187853968116,2.0
3170,73481,Prodaja,Stan,4,4,0,0,CG,Beograd,Opština Novi Beograd,Bežanijska kosa 2,132,,DA,DA,,Stara gradnja,179800,44.8184,20.3747,0.07808008709011537,2.0
3171,73482,Prodaja,Stan,3,2,2,0,Gas,Beograd,Opština Voždovac,Medaković padina,127,,DA,DA,,Stara gradnja,105000,44.7679,20.5108,0.08062803482660655,2.0
3173,73486,Prodaja,Stan,3,4,0,0,Norveški radijatori,Beograd,Opština Novi Beograd,Ledine,44,,,DA,DA,Novogradnja,57200,44.805599,20.350334,0.10385557739957971,1.0
3174,73488,Prodaja,Stan,4,4,1,0,CG,Beograd,Opština Voždovac,Lekino brdo,100,DA,DA,DA,DA,Novogradnja,199999,44.789238,20.486212,0.048139339297503865,1.0
3176,73504,Prodaja,Stan,3,15,9,0,CG,Beograd,Opština Novi Beograd,Blok 63,75,,DA,DA,DA,Stara gradnja,117000,44.8043,20.3753,0.07969723960088163,2.0
3177,73505,Prodaja,Stan,3,15,9,0,CG,Beograd,Opština Novi Beograd,Blok 61,75,,DA,DA,DA,Stara gradnja,117000,44.8043,20.3753,0.07969723960088163,2.0
3178,73507,Prodaja,Stan,5,5,1,0,Kaljeva peć,Beograd,Opština Stari grad,Gundulićev venac,130,,DA,DA,DA,Stara gradnja,265000,44.8161,20.4627,0.012640015822778137,2.0
3179,73511,Prodaja,Stan,1,4,2,0,CG,Beograd,Opština Čukarica,Filmski grad,32,,DA,DA,,Stara gradnja,94000,44.751221,20.428129,0.07649859660150819,2.0
3180,73518,Prodaja,Stan,5,5,1,0,Kaljeva peć,Beograd,Opština Stari grad,Takovska,130,,DA,DA,DA,Stara gradnja,265000,44.8161,20.4627,0.012640015822778137,2.0
3182,73527,Prodaja,Stan,4,6,2,0,Norveški radijatori,Beograd,Opština Stari grad,Skupština,104,,DA,DA,DA,Stara gradnja,275000,44.811968,20.46558,0.017496291721391125,2.0
3188,73533,Prodaja,Stan,3,5,3,0,EG,Beograd,Opština Voždovac,Lekino brdo,60,,DA,,DA,Stara gradnja,102000,44.7913,20.4915,0.050625783944547746,2.0
3192,73538,Prodaja,Stan,4,7,7,0,CG,Beograd,Opština Čukarica,Centar,111,,DA,,DA,Stara gradnja,145000,44.7705,20.413,0.06632043425672379,2.0
3193,73539,Prodaja,Stan,4,4,3,0,CG,Beograd,Opština Palilula,Cvijićeva,90,,DA,DA,,Stara gradnja,207000,44.8094,20.4795,0.030464733709655696,2.0
3195,73541,Prodaja,Stan,4,4,3,0,CG,Beograd,Opština Palilula,Centar,90,,DA,DA,,Stara gradnja,207000,44.8094,20.4795,0.030464733709655696,2.0
3199,73546,Prodaja,Stan,4,17,15,0,CG,Beograd,Opština Savski venac,Beograd na vodi,108,DA,,DA,DA,Novogradnja,396888,44.804935,20.450266,0.01890959494542592,1.0
